1,2021-07-19 ,2329
2,2021-07-20 ,2439
3,2021-07-21 ,2591
4,2021-07-22 ,2451
5,2021-07-23 ,2387
6,2021-07-24 ,2255
7,2021-07-25 ,2195
8,2021-07-26 ,2043
9,2021-07-27 ,2514
10,2021-07-28 ,2571
11,2021-07-29 ,2346
12,2021-07-30 ,3022
13,2021-07-31 ,2361
14,2021-08-01 ,2258
15,2021-08-02 ,2416
16,2021-08-03 ,2762
17,2021-08-04 ,2612
18,2021-08-05 ,3081
19,2021-08-06 ,2759
20,2021-08-07 ,2626
21,2021-08-08 ,2600
22,2021-08-09 ,2851
23,2021-08-10 ,2899
24,2021-08-11 ,2837
25,2021-08-12 ,2854
26,2021-08-13 ,2949
27,2021-08-14 ,2937
28,2021-08-15 ,2692
29,2021-08-16 ,2621
30,2021-08-17 ,2717
31,2021-08-18 ,1067
